"ifam","zygosity_2G","sex_2","sex_1","predicted_emotional11r_2","predicted_emotional13r_2","EMPQ_emotional11r_2","EMPQ_emotional13r_2","predicted_cognitive11r_2","predicted_cognitive13r_2","EMPQ_cognitive11r_2","EMPQ_cognitive13r_2","predicted_emotional11r_1","predicted_emotional13r_1","EMPQ_emotional11r_1","EMPQ_emotional13r_1","predicted_cognitive11r_1","predicted_cognitive13r_1","EMPQ_cognitive11r_1","EMPQ_cognitive13r_1"
"gp6783","MZ",2,2,-0.0214678179304896,0.00325900357676512,-0.00946538509755866,0.299847336922727,-0.135407324873877,-0.0250698327946104,-0.25363401708618,0.40439664545,-0.3018708277061,0.212638089123515,-0.191283567097558,0.572574609922726,-0.270179802907917,-0.0136827508166499,-0.0314117950861803,0.62661886745
"gp6794","DZ",2,1,-0.103662902841739,NA,0.0814437049024416,NA,-0.320856541963037,NA,-0.0314117950861803,NA,-0.281294789549625,-0.230828439063685,-0.330248114046347,-0.222729261081365,-0.305242147541191,-0.441075477480616,-0.905032113846701,-0.944871474393701
"gp6805","MZ",2,NA,NA,-0.470794421619695,NA,-0.518334481077274,NA,-0.1070510887667,NA,0.18217442245,NA,NA,NA,NA,NA,NA,NA,NA
"gp6842","DZ",1,1,-0.253908800245505,-0.104843885897495,-0.0575208410463471,0.413634374918635,-0.33737145186385,-0.132197403609976,-0.682809891846701,-0.389315918393701,0.0111150962900254,0.113122995937945,0.578842794953652,0.686361647918635,-0.0935349866208806,-0.0282360440833956,-0.349476557846701,-0.0559825853937007
"gp6853","DZ",2,1,0.0273285930509604,0.227638025867225,-0.554919931097558,0.390756427922726,-0.305771935739907,-0.15223576625914,-0.17426893808618,0.29328553345,-0.0210592208517247,0.0323472629819852,0.215206431953653,-0.222729261081365,-0.0953590474763307,0.296520545434414,-0.127254335846701,0.277350747606299
"gp6864","DZ",2,2,-0.125381554600039,-0.488930570152535,0.0814437049024416,-0.609243572077273,-0.421007251135697,-0.11769690686897,-0.58696735108618,0.18217442245,-0.23502690064672,-0.150604124838005,-0.373101749097559,0.118029154922726,-0.000657916425987213,-0.16442586711523,-0.36474512808618,-0.15115891055
"gp6875","DZ",2,1,-0.218354988485909,0.241076657247295,0.626898250902442,0.572574609922726,0.0868178493112126,0.37088071663766,0.0796993159138193,0.62661886745,-0.0440442607308845,-0.122779099557725,0.0333882499536528,-0.768183806081365,0.2786691056407,0.437970274485324,0.094967886153299,0.277350747606299
"gp6886","DZ",1,1,-0.0843030374988848,NA,-0.330248114046347,NA,-0.00241814521556057,NA,-0.349476557846701,NA,-0.105645834734385,NA,-0.512066296046347,NA,-0.0735458088549904,NA,-0.238365446846701,NA
"gp6901","MZ",2,2,NA,0.423498357167285,NA,0.936210972922727,NA,0.19203864249662,NA,0.62661886745,NA,0.195021955223375,NA,-0.336516299077273,NA,-0.16771638419616,NA,-0.0400477995500005
"gp6912","DZ",1,2,0.234594091163756,0.113289332083655,-0.330248114046347,-0.404547443081365,0.0574177341157797,0.140197587688044,0.094967886153299,-0.6115381413937,0.16686474549136,-0.062552436563175,-0.282192658097558,-0.245607208077274,0.200395697525553,-0.10057005555605,0.63525487191382,0.84884108945
