ifam,ID,zygosity,sex
gf2281,4,2,1
gf2292,1,2,1
gf2292,4,2,1
gf2303,1,3,1
gf2303,4,3,2
gf2314,1,3,2
gf2314,4,3,1
gf2325,1,1,1
gf2325,4,1,1
gf2336,1,2,2
gf2336,4,2,2
gf2340,1,3,2
gf2340,4,3,1
gf2351,1,3,1
gf2351,4,3,2
gf2362,1,2,2
gf2362,4,2,2
gf2373,1,3,1
gf2373,4,3,2
gf2384,1,1,1
gf2384,4,1,1
gf2395,1,2,1
gf2395,4,2,1
gf2406,1,1,2
gf2406,4,1,2
gf2432,1,3,2
gf2432,4,3,1
gf2443,1,3,1
gf2443,4,3,2
gf2465,1,3,2
gf2465,4,3,1
gf2476,1,1,1
gf2476,4,1,1
gf2480,1,2,1
gf2480,4,2,1
gf2491,1,3,2
gf2491,4,3,1
gf2502,1,2,1
gf2502,4,2,1
gf2513,1,2,1
gf2513,4,2,1
gf2524,1,3,2
gf2524,4,3,1
gf2535,1,3,2
gf2535,4,3,1
gf2546,1,2,2
gf2546,4,2,2
gf2550,1,3,1
gf2550,4,3,2
gf2583,1,2,2
gf2583,4,2,2
gf2594,1,2,2
gf2594,4,2,2
gf2605,1,1,1
gf2605,4,1,1
gf2616,1,1,1
gf2616,4,1,1
gf2620,1,2,1
gf2620,4,2,1
gf2631,1,2,1
gf2631,4,2,1
gf2642,1,1,2
gf2642,4,1,2
gf2653,1,3,1
gf2653,4,3,2
gf2664,1,3,2
gf2664,4,3,1
gf2686,1,1,1
gf2686,4,1,1
gf2690,1,2,2
gf2690,4,2,2
gf2701,1,2,1
gf2701,4,2,1
gf2712,1,3,2
gf2712,4,3,1
gf2723,1,1,2
gf2723,4,1,2
gf2734,1,3,1
gf2734,4,3,2
gf2745,1,3,2
gf2745,4,3,1
gf2756,1,1,2
gf2756,4,1,2
gf2760,1,3,2
gf2760,4,3,1
gf2771,1,1,1
gf2771,4,1,1
gf2793,1,2,2
gf2793,4,2,2
gf2804,1,2,1
gf2804,4,2,1
gf2815,1,1,1
gf2815,4,1,1
gf2826,1,2,2
gf2826,4,2,2
gf2830,1,3,1
gf2830,4,3,2
gf2841,1,2,1
gf2841,4,2,1
gf2852,1,3,1
gf2852,4,3,2
gf2863,1,2,1
gf2863,4,2,1
gf2874,1,2,1
gf2874,4,2,1
gf2885,1,2,2
gf2885,4,2,2
gf2896,1,3,2
gf2896,4,3,1
gf2900,1,1,2
gf2900,4,1,2
gf2911,1,1,1
gf2911,4,1,1
gf2922,1,2,2
gf2922,4,2,2
gf2933,1,2,1
gf2933,4,2,1
gf2955,1,3,2
gf2955,4,3,1
gf2966,1,2,1
gf2966,4,2,1
gf2981,1, ,2
gf2981,4, ,2
gf2992,1,2,2
gf2992,4,2,2
gi3003,1,2,1
gi3003,4,2,1
gi3014,1,2,1
gi3014,4,2,1
gi3025,1,2,2
gi3025,4,2,2
gi3036,1,3,2
gi3036,4,3,1
gi3040,1,1,1
gi3040,4,1,1
gi3051,1,3,2
gi3051,4,3,1
gi3062,1,2,2
gi3062,4,2,2
gi3073,1,2,2
gi3073,4,2,2
gi3084,1,2,1
gi3084,4,2,1
gi3095,1,2,1
gi3095,4,2,1
gi3106,1,2,2
gi3106,4,2,2
gi3110,1,1,2
gi3110,4,1,2
gi3121,1,1,1
gi3121,4,1,1
gi3132,1,3,2
gi3132,4,3,1
gi3143,1,3,2
gi3143,4,3,1
gi3154,1,2,2
gi3154,4,2,2
gi3165,1,1,1
gi3165,4,1,1
gi3176,1,3,1
gi3176,4,3,2
gi3180,1,1,1
gi3180,4,1,1
gi3191,1,1,2
gi3191,4,1,2
gi3202,1,2,1
gi3202,4,2,1
gi3213,1,3,2
gi3213,4,3,1
gi3224,1,3,2
gi3224,4,3,1
gi3235,1,2,2
gi3235,4,2,2
gi3246,1,3,1
gi3246,4,3,2
gi3250,1,2,1
gi3250,4,2,1
gi3261,1,1,1
gi3261,4,1,1
gi3272,1,2,2
gi3272,4,2,2
gi3294,1,2,1
gi3294,4,2,1
gi3305,1,2,2
gi3305,4,2,2
gi3316,1,2,1
gi3316,4,2,1
gi3320,1,2,1
gi3320,4,2,1
gi3331,1,3,1
gi3331,4,3,2
gi3342,1,3,2
gi3342,4,3,1
gi3364,1,1,1
gi3364,4,1,1
gi3375,1,2,2
gi3375,4,2,2
gi3386,1,1,2
gi3386,4,1,2
gi3390,1,2,2
gi3390,4,2,2
gi3401,1,1,2
gi3401,4,1,2
gi3412,1,2,1
gi3412,4,2,1
gi3423,1,2,2
gi3423,4,2,2
gi3434,1,2,1
gi3434,4,2,1
gi3445,1,2,2
gi3445,4,2,2
gi3456,1,3,1
gi3456,4,3,2
gi3460,1,2,2
gi3460,4,2,2
gi3471,1,3,2
gi3471,4,3,1
gi3482,1,2,2
gi3482,4,2,2
gi3493,1,3,1
gi3493,4,3,2
gi3504,1,2,1
gi3504,4,2,1
gi3526,1,3,1
gi3526,4,3,2
gi3530,1,2,2
gi3530,4,2,2
gi3541,1,3,1
gi3541,4,3,2
gi3563,1,3,2
gi3563,4,3,1
gi3574,1,1,1
gi3574,4,1,1
gi3585,1,1,2
gi3585,4,1,2
gi3596,1,3,2
gi3596,4,3,1
gi3600,1,3,1
gi3600,4,3,2
gi3611,1,3,1
gi3611,4,3,2
gi3622,1,2,2
gi3622,4,2,2
gi3633,1,2,1
gi3633,4,2,1
gi3644,1,2,2
gi3644,4,2,2
gi3655,1,2,2
gi3655,4,2,2
gi3666,1,2,1
gi3666,4,2,1
gi3670,1,1,1
gi3670,4,1,1
gi3681,1,1,2
gi3681,4,1,2
gi3692,1,2,2
gi3692,4,2,2
gi3703,1,3,1
gi3703,4,3,2
gi3714,1,2,1
gi3714,4,2,1
gi3725,1,2,1
gi3725,4,2,1
gi3736,1,2,2
gi3736,4,2,2
gi3740,1,3,1
gi3740,4,3,2
gi3751,1,2,1
gi3751,4,2,1
gi3762,1,3,1
gi3762,4,3,2
gi3773,1,1,1
gi3773,4,1,1
gi3784,1,3,1
gi3784,4,3,2
gi3795,1,2,1
gi3795,4,2,1
gi3806,1,1,1
gi3806,4,1,1
gi3810,1,2,2
gi3810,4,2,2
gi3821,1,2,1
gi3821,4,2,1
gi3832,1,3,2
gi3832,4,3,1
gi3843,1,3,1
gi3843,4,3,2
gi3854,1,3,1
gi3854,4,3,2
gi3865,1,2,2
gi3865,4,2,2
gi3876,1,3,2
gi3876,4,3,1
gi3902,1,3,2
gi3902,4,3,1
gi3913,1,2,2
gi3913,4,2,2
gi3924,1,2,2
gi3924,4,2,2
gi3935,1,1,1
gi3935,4,1,1
gi3946,1,2,1
gi3946,4,2,1
gi3950,1,2,1
gi3950,4,2,1
gi3961,1,3,2
gi3961,4,3,1
gi3972,1,1,1
gi3972,4,1,1
gi3983,1,1,2
gi3983,4,1,2
gm4016,1,2,2
gm4016,4,2,2
gm4020,1,3,1
gm4020,4,3,2
gm4031,1,2,1
gm4031,4,2,1
gm4042,1,2,2
gm4042,4,2,2
gm4053,1,3,2
gm4053,4,3,1
gm4064,1,2,2
gm4064,4,2,2
gm4075,1,3,1
gm4075,4,3,2
gm4086,1,1,1
gm4086,4,1,1
gm4090,1,1,2
gm4090,4,1,2
gm4101,1,3,2
gm4101,4,3,1
gm4112,1,3,1
gm4112,4,3,2
gm4123,1,3,2
gm4123,4,3,1
gm4134,1,1,1
gm4134,4,1,1
gm4145,1,2,1
gm4145,4,2,1
gm4171,1,1,1
gm4171,4,1,1
gm4182,1,1,1
gm4182,4,1,1
gm4204,1,1,2
gm4204,4,1,2
gm4215,1,3,1
gm4215,4,3,2
gm4226,1,3,2
gm4226,4,3,1
gm4230,1,2,2
gm4230,4,2,2
gm4241,1,1,2
gm4241,4,1,2
gm4252,1,3,1
gm4252,4,3,2
gm4263,1,2,2
gm4263,4,2,2
gm4274,1,3,2
gm4274,4,3,1
gm4285,1,3,2
gm4285,4,3,1
gm4300,1,3,1
gm4300,4,3,2
gm4311,1,2,1
gm4311,4,2,1
gm4322,1,2,1
gm4322,4,2,1
gm4333,1,3,1
gm4333,4,3,2
gm4344,1,3,2
gm4344,4,3,1
gm4355,1,3,2
gm4355,4,3,1
gm4370,1,3,2
gm4370,4,3,1
gm4381,1,3,1
gm4381,4,3,2
gm4392,1,2,1
gm4392,4,2,1
gm4403,1,3,1
gm4403,4,3,2
gm4425,1,3,1
gm4425,4,3,2
gm4436,1,3,1
gm4436,4,3,2
gm4451,1,3,2
gm4451,4,3,1
gm4462,1, ,1
gm4462,4, ,1
gm4473,1,1,2
gm4473,4,1,2
gm4484,1,2,2
gm4484,4,2,2
gm4506,1,1,1
gm4506,4,1,1
gm4521,1,3,1
gm4521,4,3,2
gm4532,1,3,2
gm4532,4,3,1
gm4543,1,3,1
gm4543,4,3,2
gm4554,1,3,1
gm4554,4,3,2
gm4576,1,2,1
gm4576,4,2,1
gm4580,1,2,2
gm4580,4,2,2
gm4591,1,3,1
gm4591,4,3,2
gm4602,1,2,1
gm4602,4,2,1
gm4613,1,3,2
gm4613,4,3,1
gm4624,1,2,1
gm4624,4,2,1
gm4635,1,2,1
gm4635,4,2,1
gm4646,1,3,2
gm4646,4,3,1
gm4650,1,3,2
gm4650,4,3,1
gm4661,1,3,1
gm4661,4,3,2
gm4672,1,3,1
gm4672,4,3,2
gm4683,1,2,2
gm4683,4,2,2
gm4694,1,3,1
gm4694,4,3,2
gm4705,1,3,2
gm4705,4,3,1
gm4716,1,3,2
gm4716,4,3,1
gm4720,1,3,1
gm4720,4,3,2
gm4731,1,3,1
gm4731,4,3,2
gm4742,1,3,1
gm4742,4,3,2
gm4753,1,3,2
gm4753,4,3,1
gm4764,1,3,1
gm4764,4,3,2
gm4775,1,3,2
gm4775,4,3,1
gm4786,1,1,2
gm4786,4,1,2
gm4790,1,2,2
gm4790,4,2,2
gm4812,1,1,1
gm4812,4,1,1
gm4823,1,1,2
gm4823,4,1,2
gm4834,1,1,1
gm4834,4,1,1
gm4845,1,1,1
gm4845,4,1,1
gm4856,1,2,2
gm4856,4,2,2
gm4860,1,3,2
gm4860,4,3,1
gm4871,1,3,2
gm4871,4,3,1
gm4882,1,3,1
gm4882,4,3,2
gm4893,1,2,2
gm4893,4,2,2
gm4904,1,2,1
gm4904,4,2,1
