ifam,ID,source,whichParentOut,whyParentOut,EQSQ_empathy.2,EQSQ_empathy.3
38102,1,1,0, ,1.6,0.8
38102,4,1,0, ,1.8,0.8
38233,1,0,0, , ,0.2
38233,4,0,0, , ,1.4
38262,1,0,0, , ,1.666666667
38262,4,0,0, , ,2
38400,1,0,0, , ,0.8
38400,4,0,0, , ,1
38411,1,0,0, , ,1.4
38411,4,0,0, , ,1.4
38451,1,0,0, , ,1
38451,4,0,0, , ,1
38473,1,0,0, ,1.6, 
38473,4,0,0, ,2, 
38480,1,1,0, ,1.8,1.8
38480,4,1,0, ,2,2
38491,1,1,0, ,1.4,0.8
38491,4,1,0, ,1.4,0.8
38582,1,1,0, ,1.4,1.8
38582,4,1,0, ,1.6,2
38593,1,0,0, ,1.2,1.2
38593,4,0,0, ,1.6,1.8
38633,1,0,0, ,1.8,0.6
38633,4,0,0, ,1.8,1.4
38713,1,0,0, , ,1.8
38713,4,0,0, , ,2
38742,1,0,0, ,1,1.2
38742,4,0,0, ,0.6,1
38771,1,0,0, ,1.8,1.8
38771,4,0,0, ,2,1.2
38782,1,0,0, , ,1.2
38782,4,0,0, , ,2
38793,1,0,0, , ,0.8
38793,4,0,0, , ,1.2
38811,1,0,0, , ,1.8
38811,4,0,0, , ,1.2
38851,1,0,0, ,1.2,1.2
38851,4,0,0, ,1,0.8
38891,1,0,0, ,1.6, 
38891,4,0,0, ,1.6, 
38913,1,0,0, , ,1.8
38913,4,0,0, , ,1.6
38953,1,0,0, ,1,0.6
38953,4,0,0, ,0.4,0.4
39011,1,0,0, , ,2
39011,4,0,0, , ,1.8
39051,1,0,0, , ,0.4
39051,4,0,0, , ,1.6
39062,1,0,0, ,1.4,1.4
39062,4,0,0, ,1.25,1.4
39080,1,0,0, , ,1.8
39080,4,0,0, , ,0.8
39153,1,0,0, ,1.4,1
39153,4,0,0, ,1.6,1
39233,1,0,0, , ,0.8
39233,4,0,0, , ,0.8
39251,1,0,0, , ,1.2
39251,4,0,0, , ,1.2
39280,1,0,0, , ,1.6
39280,4,0,0, , ,1.6
39382,1,0,0, ,1.2,1
39382,4,0,0, ,1,1.6
39393,1,0,0, , ,1
39393,4,0,0, , ,0.8
39422,1,0,0, ,0.8,0.8
39422,4,0,0, ,1.6,1
39473,1,0,0, ,1.4, 
39473,4,0,0, ,1.2, 
39480,1,0,0, ,1.2,1.2
39480,4,0,0, ,0.8,1
39502,1,1,0, ,2,2
39502,4,1,0, ,2,2
39531,1,0,0, ,0.6,0.8
39531,4,0,0, ,1.6,2
39553,1,0,0, ,1,1.6
39553,4,0,0, ,1.6,1.8
39582,1,0,0, , ,0.4
39582,4,0,0, , ,0.8
39593,1,1,0, , ,1.2
39593,4,1,0, , ,1.4
