"ifam","ID","OnlineManual","EMPQ_emotional_11","EMPQ_cognitive_11","predicted_emotional_11","predicted_cognitive_11","OnlineManual13","EMPQ_emotional_13","EMPQ_cognitive_13","predicted_emotional_13","predicted_cognitive_13","sex","zygosity","zygoAcc3"
1026,4,0,3.090909091,3.666666667,3.079054465929,3.65373552813841,NA,NA,NA,NA,NA,1,2,1
1027,1,0,3.363636364,4.333333333,3.44884573501772,4.30433216563947,0,3.272727273,4.777777778,3.54006268359512,4.2936246738799,2,2,3
1027,4,0,3.272727273,3.666666667,3.410372284393,3.73844923075401,0,3.272727273,4.375,3.72480545495512,4.01329975174042,2,2,3
1030,1,NA,NA,NA,NA,NA,0,3.727272727,3.888888889,3.43536102802525,3.79103385844884,1,3,2
1030,4,0,4.181818182,4.333333333,3.68834869063315,4.31754650677084,NA,NA,NA,NA,NA,2,3,2
1033,1,NA,NA,NA,NA,NA,0,3.636363636,4.111111111,2.93229375349185,4.0286219343556,1,1,1
1033,4,NA,NA,NA,NA,NA,0,3.454545455,3.777777778,3.14913225438042,4.15242969136433,1,1,1
1034,1,NA,NA,NA,NA,NA,0,2.818181818,3.444444444,3.1700767665535,3.84264744148148,2,1,1
1034,4,NA,NA,NA,NA,NA,0,4.454545455,4.666666667,3.62303096397458,4.32885979849734,2,1,1
1035,1,0,3.5,4.222222222,3.28672824965589,4.00494253493021,NA,NA,NA,NA,NA,1,2,1
1035,4,0,1.545454545,4.222222222,3.38253669396963,3.97741215525744,NA,NA,NA,NA,NA,1,2,1
1036,1,0,3.363636364,3.666666667,3.41050378045117,3.87215068305189,0,3.272727273,3.666666667,3.41043861626082,3.84755754531893,1,1,1
1036,4,0,3,3.777777778,3.32851376007267,3.98712169773486,NA,NA,NA,NA,NA,1,1,1
1037,1,0,4.363636364,4.333333333,3.61310950964546,4.08054513506533,0,4.454545455,4.666666667,3.59811366707057,4.17767636277656,2,2,3
1037,4,0,3.090909091,3.666666667,3.16388315533668,3.82304014138295,NA,NA,NA,NA,NA,2,2,3
1039,1,0,2.818181818,3.111111111,3.32817882134709,3.81665054886562,0,2.818181818,3.444444444,3.53111465618413,4.27799189366956,1,1,1
1039,4,0,4.3,5,3.37620589329491,4.11460701178139,0,3.181818182,3.333333333,3.74972674172499,4.44074890145269,1,1,1
1040,1,NA,NA,NA,NA,NA,0,3.818181818,3.555555556,3.33425739471135,3.81748938481216,1,2,1
1040,4,NA,NA,NA,NA,NA,0,3.818181818,3.666666667,3.76259769815653,3.9299227707422,1,2,1
1042,1,0,3.181818182,3.666666667,3.16772031416727,4.09930104636092,0,3.545454545,4.888888889,3.16385566947583,4.29203124202036,1,1,1
1042,4,0,2.818181818,3.666666667,3.39155447446567,4.31013165169589,0,2.727272727,4.777777778,3.70008767204132,4.46584390697139,1,1,1
