ifam,ID,OnlineManual13,isOut,whyOut,sex,zygosity,tn_BFI1,tn_BFI2,tn_BFI3,tn_BFI4,tn_BFI5,tn_BFI6,tn_BFI7,tn_BFI8,tn_BFI9,tn_BFI10,tn_BFI11,tn_BFI12,tn_BFI13,tn_BFI14,tn_BFI15,tn_BFI16,tn_BFI17,tn_BFI18,tn_BFI19,tn_BFI20,tn_BFI21,tn_BFI22,tn_BFI23,tn_BFI24,tn_BFI25,tn_BFI26,tn_BFI27,tn_BFI28,tn_BFI29,tn_BFI30,tn_BFI31,tn_BFI32,tn_BFI33,tn_BFI34,tn_BFI35,tn_BFI36,tn_BFI37,tn_BFI38,tn_BFI39,tn_BFI40,tn_BFI41,tn_BFI42,tn_BFI43,tn_BFI44,EMPQ_emotional,EMPQ_cognitive
35,1,0,0, ,2,1,3,1,4,1,3,5,5,1,3,3,3,1,4,3,3,3,4,3,1,4,3,3,1,3,3,3,2,3,1,3,3,3,3,3,3,4,3,3,1,3,3,3,3,1,2.818181818,3.444444444
35,4,0,0, ,2,1,4,2,5,1,5,5,5,2,3,5,4,1,5,3,5,4,3,2,4,5,3,5,1,4,4,4,1,4,1,5,3,5,5,3, ,4, ,3,2,3,4,5,1,5,4.454545455,4.666666667
37,1,0,0, ,1,1,4,2,4,2,3,3,4,2,2,4,4,2,3,3,4,4,4,1,4,3,3,4,2,3,4,3,3,4,3,4,2,4,4,2,3,4,3,4,3,3,4,4,3,4,3.272727273,3.666666667
38,1,0,0, ,2,2,3,4,4,3,5,4,4,1,5,4,3,2,5,5,5,3,2,5,3,5,3,3,3,2,5,4,2,4,4,3,5,4,4,3,3,3,2,3,4,5,2,1,2,5,4.454545455,4.666666667
40,1,0,0, ,1,1,3,2,4,4,5,5,4,1,4,5,5,2,5,5,4,3,5,1,4,5,2,5,3,3,5,4,5,5,4,4,4,4,5,5,3,5,4,5,3,5,5,4,2,5,2.818181818,3.444444444
40,4,0,0, ,1,1,5,4,5,1,5,3,4,4,5,5,5,1,5,5,5,5,2,1,1, ,1,4,1,1,5,5,1,5,2,5,4,4,5,2,1,5,3,4,1,4,4,5,4,5,3.181818182,3.333333333
41,1,0,0, ,1,2,3,2,4,1,3,2,4,3,3,4,2,1,4,4,4,4,4,1,4,3,4,4,2,4,3,3,4,4,4,3,4,4,4,2,4,4,4,3,3,3,3,4,2,3,3.818181818,3.555555556
41,4,0,0, ,1,2,3,3,4,3,4,4,4,2,4,5,3,1,4,5,4,4,2,2,5,5,3,4,1,1,4,3,2,3,5,4,4,3,3,1,4,5,3,4,2,4,3,4,4,3,3.818181818,3.666666667
43,1,0,0, ,1,1,2,1,5,1,5,4,4,5,5,5,5,2,5,3,5,4,4,1,3,5,4,4,2,4,5,5,2,5,1,5,2,4,5,4,1,5,2,5,4,3,2,5,1,3,3.545454545,4.888888889
43,4,0,0, ,1,1,3,1,5,1,5,4,5,3,5,5,5,1,5,1,5,4,5,1,4,5,2,5,2,2,5,5,1,5,4,5,2,5,5,5,4,5,1,5,2,5,5,5,1,5,2.727272727,4.777777778
45,1,0,0, ,2,1,3,3,4,1,5,2,4,5,5,5,5,4,5,5,4,4,3,5,2,5,1,4,3,4,5,5,1,4,2,3,1,3,4,4,2,3,5,3,5,5,2,3,2,4,2.545454545,4.555555556
45,4,0,0, ,2,1,4,3,4,1, ,1,3,4,4,5,5,4,3,1,4,3,1,5,1,4,1,4,4,5,4,5,3,4,1,3,1,3,4,5,3,3,4,3,5,3,4,3,4,3,2.454545455,4
46,1,0,0, ,1,2,3,4,5,1,5,4,4,5,4,5,4,1,5,3,5,4,4,1,5,5,4,5,1,4,4,4,2,5,3,2,1,4,5,4,3,5,2,3,2,4,2,2,4,1,4,4.111111111
46,4,0,0, ,1,2,4,2,3,3,4,3,4,4,2,4,4,3,3,5,3,3,3,3,3,4,2,3,3,3,4,3,3,3,3,3,4,3,3,2,4,4,3,3,4,4,4,3,3,3,3.090909091,3.777777778
48,1,0,0, ,2,2,4,1,4,1,5,5,5,3,4,4,5,1,5,2,4,5,4,2,1,5,3,4,1,4,5,4,1,4,3,4,2,5,5,4,3,5,1,4,1,4,5,5,2,4,3.363636364,4.25
48,4,0,0, ,2,2,4,2,4,1,4,4,4,2,5,5,5,1,4,2,4,4,5,3,2,3,2,5,2,3,4,4,1,5,1,4,2,4,4,4,3,5,2,3,4,4,2,5,3,4,4.090909091,4.111111111
49,1,0,0, ,1,3,3,3,3,1,3,2,3,3,3,5,4,2,4,3,3,2,3,3,3,2,2,4,2,3,3,3,3,2,3,2,3,4,4,3,3,4,3,3,2,2,3,3,3,3,2.454545455,3.25
49,4,0,0, ,2,3,4,3,3,3,4,2,4,4,4,4,4,3,4,1,3,3,2,2,2,2,2,2,3,3,3,3,3,2,4,1,2,2, ,3,1,4,3,3,4,3,2,3,3,5,2.8,4
51,1,0,0, ,2,2,4,2,4,1,4,3,4,4,2,4,4,2,4,4,4,3,4,2,4,4,2,4,3,1,4,2,2,3,2,4,2,2,3,1,3,4,2,2,4,4,1,3,5,5,3.727272727,3.555555556
51,4,0,0, ,2,2,3,2,4,2,3,4,4,4,3,4,3,2,4,5,3,3,3,2,4,3,4,3,3,3,3,2,4,4,4,4,5,3,4,2,4,3,3,3,3,4,2,3,2,4,3.818181818,4
54,1,0,0, ,1,3,2,4,3,1,4,4,5,2,4,5,5,1,3,3,5,3,5,2,5,5,3,2,3,2,2,2,1,4,4,5,4,4,3,4,2,5,4,2,1,4,2,4,2,4,3.818181818,4.555555556
54,4,0,0, ,2,3,4,4,1,1,4,3,3,4,5,4,5,2,4,1,2,3,3,5,1,3,3,4,3,3,4, ,1,3,3,4,1,3,3,4,2,5,3,2,4,4,2,4,4,1,3.363636364,4
55,1,0,0, ,2,2,5,5,4,2,5,5,4,3,5,4,4,1,5,2,5,5,4,1,2,5,4,4,2,5,4,2,4,5,2,5,5,5,5,5,3,4,1,5,1,5,1,5,5,5,3.272727273,4.111111111
55,4,0,0, ,2,2,5,4,4,1,5,4,5,2,4,4,4,1,5,4,4,3,5,4,4,5,4,5,3,5,5,5,1,3,1,5,4,4,3,4,3,5,2,3,2,4,1,4,4,5,3.181818182,3.888888889
56,1,0,0, ,1,1,3,2,2,1,2,3,5,3,2,4,3,2,3,4,3,4,4,4,4,4,3,4,3,3,3,4,1,3,3,3,4,4,3,2,2,5,4,4,4,3,3,4,3,2,3.909090909,3.777777778
56,4,0,0, ,1,1,3,2,2,2,2,4,5,2,2,5,4,4,4,4,3,4,4,4,5,3,2,4,3,2,3,5,2,2,3,4,4,5,3,2,4,5,4,4,4,3,1,4,4,3,3,3.777777778
63,1,0,0, ,2,3,5,3,4,1,5,4,4,4,2,5,5,1,4,5,4,4,4,5,4,4,3,4,4,2,5,4,4,3,3,2,4,5,2,2,2,4,3,2,4,4,2,2,5,5,4.363636364,4.888888889
64,1,0,0, ,2,2,5,2,3,1,5,3,4,3,5,5,3,1,4,3,4,4,5,3,3,5,2,4,2,4,5,2,2,3,1,4,2,4,4,5,3,4,2,2,1,4,2,5,3,4,3.545454545,4.111111111
64,4,0,0, ,2,2,4,4,4,3,4,3,4,1,2,5,4,3,5,5,3,4,2,1,5,3,1,5,2,2,2,5,3,4,4,5,2,5,4,2,4,4,4,4,4,4,5,4,3,4,4,4.555555556
67,1,0,0, ,1,1,4,4,5,1,4,5,5,1,4,4,5,1,5,4,4,4,4,1,4,4,4,4,1,4,4,4,3,4,4,4,3,4,4,4,4,5,1,4,2,4,4,4,3,5,3.545454545,4.111111111
67,4,0,0, ,1,1,3,3,5,3,4,3,4,2,3,2,5,3,4,2,5,5,5,3,5,5,4,2,3,2,5,3,3,4,3,4,2,4,4,3,4,2,4,3,3,4,2,4,3,3,3.272727273,3.555555556
68,1,0,0, ,2,1,4,4,3,2,4,3,5,4,1,5,5,2,4,5,5,5,3,4,4,3,2,3,4,4,3,4,1,4,2,3,2,3,2,1,4,5,2,2,4,5,4,4,2,2,3.727272727,3.777777778
68,4,0,0, ,2,1,4,1,5,1,3,2,5,4,1,4,5,1,2,5,3,3,3,4,4,4,2,4,4,3,2,5,1,4,1,3,3,5,4,1,3,2,1,2,1,4,2,4,1,2,3.272727273,4.444444444
69,1,0,0, ,1,1,1,2,3,2,3,3,3,2,4,5,3,1,4,2,3,3,4,5,2,5,5,4,2,3,4,4,3,3,2,2,2,3,4,4,4,4,3,2,3,4,2,4,2,2,2.545454545,3.666666667
69,4,0,0, ,1,1,4,2,3,1,3,3,4,2,4,4,4,2,4,4,3,3,4,2,2,5,2,2,2,3,4,4,2,3,2,3,3,3,4,3,3,4,3,3,2,3,3,4,4,2,3,3
71,1,0,0, ,1,2,3,4,4,1,3,3,4,4,3,5,5,1,4,3,4,4,2,2,1,5,4,3,5,5,3,5,3,4,3,4,3,3,3,5,3,5,5,4,5,5,3,4,1,3,2.818181818,3.222222222
72,1,0,0, ,1,2,4,2,2,1,1,5, ,3,5,2,2,2,4,4,4,5,5,4,2,3,3,4,5,5,2,4,1,2,1,2,2,5,2,4,3,5,2,3,2,4,5,4,4,1,3.181818182,4.111111111
72,4,0,0, ,1,2,3,2,5,3,4,3,4,2,4,5,5,2,4,2,5,3,3,1,3,5,3,4,2,4,4,3,2,5,3,4,3,4,4,4,3,4,3,4,2,3,3,4,2,4,2.909090909,3.666666667
74,1,0,0, ,2,2,3,2,3,1,3,4,4,2,4,4,3,2,5,4,4,3,4,2,4,5,3,2,3,3,2,3,4,4,2,3,4,4,4,2,3,4,2,4,2,3,3,4,2,2,3.181818182,4.222222222
74,4,0,0, ,2,2,3,3,5,1,3,2,5,3,1,3,3,3,5,4,4,3,2,4,5,3,1,3,2,3,3,5,3,4,2,2,3,4,4,1,4,4,4,4,5,3,3,4,1,3,3.636363636,4.111111111
76,1,2,0, ,1,3,4,1,5,1,2,3,3,1,4,5,3, ,5,5,4,1,1,1,3,3,1,5,1,4,2,5,1,5,4,5,4,5,5,2,2,5,4,2,5,4,4,5,2,1,4.111111111,4.111111111
76,4,2,0, ,2,3,4,2,4,1,4,2,4,3,3,5,4,2,3,2,4,4,3,3,1,5,2,3,3,2,4,4,2,3,2,5,2,4,3,4,1,5,2,3,1,5,5,1,2,5,3.8,4.444444444
77,1,0,0, ,1,2,3,2,3,1,4,5,4,3,3,4,4,2,4,3,4,4,3,5,2,5,4,4,3,4,4,4,3,3,2,4,4,4,4,3,3,4,3,3,1,5,4,4,4,2,3.363636364,3.666666667
77,4,0,0, ,1,2,3,2,5,1,4,4,4,4,3,4,4,3,4,4,4,4,5,3,3,4,3,4,1,4,4,4,2,5,2,3,4,4,5,3,4,4,3,5,4,2,1,5,3,3,3.727272727,4
83,1,0,0, ,2,3,4,2,5,1,5,3,5,2,4,5,5,2,5,4,4,4,4,2,2,5,2,4,3,4,4,4,2,4,1,5,2,5,4,3,4,5,2,4,2,4,1,5,2,5,3.727272727,4.111111111
83,4,0,0, ,1,3,5,4,5,2,5,4,5,1,2,5,5,1,5,4,5,5,4,4,4,5,3,5,4,1,5,5,2,4,4,4,4,5,5,2,1,5,3,4,3,5,3,3,2,4,3.818181818,4.777777778
84,1,0,0, ,1,3,4,3,4,2,4,2,4, ,4,5,2,3,4,3,4,3,4,4,3,5,3,4,3,3,4,5,4,4,3,3,1,4,3,4,3,3,4,4,4,4,4,4,3,4,3.818181818,4.444444444
84,4,0,0, ,2,3,2,2,4,2,4,3,4,4,3,4,3,3,5,4,5,4,3,4,3,5,4,4,2,3,4,5,2,5,3,4,5,5,4,3,3,2,2,3,3,5,1,2,2,5,4.181818182,4
87,1,0,0, ,2,2,3,5,5,4,3,2,4,1,3,4,4,3,3,3,2,3,5,1,5,3,3,1,2,5,3,3,4,3,5,5,3,5,4,1,3,3,2,3,5,3,4,1,4,3,2.727272727,3.222222222
99,1,0,0, ,1,3,5,2,4,1,5,3,4,2,5,5,3,2,5,2,5,4,4,2,2,4,1,2,3,4,3,5,3,3,2,4,2,3,3,5,4,3,4,3,5,4,2,4,2,2,2.272727273,4.222222222
99,4,0,0, ,2,3,5,4,5,1,5,1,5,1,1,5,5,3,5,3,5,5,4,2,4,4,1,5,2,2,4,4,1,5,4,4,2,4,5,1,5,5, ,4,5,3,2,4,2,5,3.727272727,4.444444444
100,1,2,0, ,1,3, ,2,3,1,4,1,5,3,2,4,5,1,5,2,4,3,5,3,4,2,1,5,4,4,4,4,1,5,3,4,2,5,4,3,3,5,2,4,2,4,3,4,2,5,3.8,3.777777778
100,4,2,0, ,2,3,2,1,4,1,3,1,5,3,2,4,3,2,5,5,3,3,2,1,5,4,2,4,1,1,4,4,2,4,4,4,2,4,4,2,5,5,1,4,3,4,4,4,2,2,4.1,4.222222222
101,1,2,0, ,2,1,3,2,4,2,4,4,5,3,4,3,4,2,4,3,3,4, ,1,4,4,4,3,2,4,4,3, ,4,4,4,3,4,4,4,4,5,2,4,3,4, ,5, , ,3.181818182,3.888888889
101,4,2,0, ,2,1,2,4,5,3,4,3,4,4,2,5,5,4,2,2,3,4,4,1,4,3,3,3,2,4,4,2, ,4,2,4,3, ,4,2,2,5,2,4,3,4,4,5, ,3,2.454545455,3.666666667
108,4,2,0, ,2,3,5,4,3,3,5,4,5,4,2,5,5,3,5,5,4,4,3,2,5,5,1,5,3,3,5,5,3, ,4,5,3,4,5,2,1,5,3,4,3,5,5,4,5,5,4.181818182,4.222222222
109,1,2,0, ,2,1,4,3,2,3,4,1,3,4,2,5,5,2,4,5,4,4,5,3,5,5,1,3,1,3,4,5,4,3,5,1,1,4,3,1,5,5,2,4,2,5,1,3,5,5,4.6,4.111111111
110,1,0,0, ,2,1,4,2,2,1,3,2,3,4,2,4,4,2,4,4,3,3,4,4,3,4,2,3, ,2,3,3, ,4,2,3,2,3,4,2,3,4,3,4,3,4,4,4,3,2,3.636363636,3.666666667
110,4,0,0, ,2,1,4,4,4,2,3,2,4,2,2,4,4,4,4,4,3,4,2,4,4,5,1,4,4,2,3,4,2,4,4,4,3,3,4,2,2,4,4,3,5,4,2,4,5,2,3.545454545,4
115,1,0,0, ,2,2,4,2,3,1,3,3,3,4,3,3,2,3,2,4,3,3,3,4,3,1,2,3,5,3,3,4,2,4,3,1,3,3,3,4,1,3,3,3,4,4,3,3,2,2,2.272727273,3.222222222
115,4,0,0, ,2,2,5,3,4,3,4,3,4,4,1,5,4,3,5,5,4,4,4,1,5,5,1,5,3,2,4,3,3,5,4,4,4,4,4,2,3,5,4,2,4,4,5,4,2,3,4.181818182,3.888888889
116,1,0,0, ,1,2,4,1,1,1,1,5,3,3,5,2,1,1,2,1,1,4,3,1,1,5,5,3,5,4,1,5,3,2,3,2,3,4,4,4,3,3,1,3,2,3,5,4,3,1,2.454545455,4.666666667
117,1,0,0, ,1,2,5,2,3,1,5,3,4,2,3,5,5,2,4,2,4,4,4,2,1,5,1,4,2,3,5,4,2,5,3,5,1,4,4,3,2,4,2,4,2,5,1,4,3,4,3.181818182,4.333333333
118,1,0,0, ,1,2,5,3,4,1,4,2,4,3,4,5,4,4,5,1,5,4,5,3,4,2,1,3,2,2,4,5,3,4,4,5,1,5,5,5,5,5,4,4,4,3,4,4,1,5,3.545454545,4.666666667
118,4,0,0, ,1,2,3,2,4,1,4,2,4,4,3,3,4,1,4,2,3,3,4,4,4,3,3,4,3,4,5,3,2,3,2,4,3,4,3,5,2,4,3,3,1,4,1,4,4,5,3.545454545,4.333333333
120,1,0,0, ,2,2,1,5,2,4,2,4,1,2,1,2,1,4,2,5,2,1,1,2,5,2,4,1,4,4,2,2,5,2,5,4,4,2,2,2,5,1,4,2,4,2,4,2,2,2,2.545454545,3.111111111
120,4,0,0, ,2,2,3,3,4,1,4,2,5,1,4,4,4,1,4,3,4,3,5,2,2,5,2,4,1,2,3,4,1,3,1,5,2,5,4,3,2,4,1,3,2,5,5,4,2,5,3.636363636,4.555555556
121,1,0,0, ,2,3,5,2,3,1,4,4,4,4,4,4,5,2,4,4,2,4,5,4,2,3,1,5,4,1,4,5,2,2,4,4,1,4,3,2,2,5,2,4,1,2,2,5,5,4,4.090909091,4.333333333
121,4,0,0, ,1,3,4,2,5,2,4,4,4,5,4,5,5,2,4,4,5,4,4,1,4,4,3,4,5,4,4,4,4,5,4,4,4,4,4,3,4,4,4,5,3,4,5,4,4,5,3.545454545,4
123,1,0,0, ,2,2,5,3,4,1,4,4,5,5,5,5,5,1,5,4,5,4,5,2,4,4,1,4,2,3,4,2,1,5,1,4,2,4,4,4,4,4,2,4,2,4,1,5,5,5,3.909090909,4.888888889
123,4,0,0, ,2,2,5,2,4,1,4,4,4,4,4,5,5,3,4,3,5,5,4,5,2,5,2,4,4,2,4,5,1,4,1,2,2,4,4,3,2,5,2,3,5,4,1,4,1,2,4.090909091,4.777777778
125,1,0,0, ,2,2,5,3,3,1,3,4,5,1,4,4,5,3,4,5,3,4,4,5,4,4,1,5,2,4,4,5,1,4,2,5,3,4,3,4,1,5,3,4,2,2,2,5,4,3,3.545454545,4.444444444
125,4,0,0, ,2,2,4,1,4,1,4,4,5,4,3,5,5,1,5,4,5,3,5,3,5,5,4,4,3,4,4,4,3,5,4,5,4,5,4,3,2,4,1,5,2,5,2,5,1,4,3.181818182,4.666666667
129,4,0,0, ,2,2,3,1,4,1,4,2,5,1,3,5,5,3,5,2,4,4,3,4,3,4,1,4,4,4,4,5,1,4,1,2,1,5,4,3,4,5,4,5,5,3,3,5,5,2,4.363636364,4.888888889
130,1,0,0, ,1,3,5,2,2,1,4,1,5,4,3,4,4,4,4,2,4,5,3,5,4,4,2,4,3,2,2,2,1,3,2,2,4,5,3,3,2,5,2,3,4,2,4,4,4,2,4,4.333333333
130,4,0,0, ,2,3,4,2,4,1,4,3,5,3,4,5,4,2,5,4,4,2,4,2,4,4,2,4,3,3,4,5,1,4,1,3,3,5,4,4,4,5,2,4,3,5,4,5,1,3,3.181818182,3.777777778
132,1,0,0, ,1,3,4,1,4,1,5,1,5,5,5,5,5,1,5,1,5,5,5,1,1,5,1,1,1,1,5,5,1,5,1,3,1,5,5,5,1,5,1,5,1,3,1,5,5,3,3.181818182,4.5
133,4,0,0, ,1,1,4,2,3,2,4,3,4,4,3,4,4,3,4,3,4,3,4,3,4,5,3,3,3,2,4,3,2,3,3,4,4,4,4,3,3,4,3,3,4,3,2,4,4,4,2.909090909,3.333333333
136,1,0,0, ,2,2,2,1,5,2,4,5,4,3,4,4,2,3,5,4,5,3,2,2,2,4,3,4,2,4,5,5,2,5,4,5,4,4,5,3,4,3,4,4,4,4,2,4,1,4,3.636363636,3.777777778
136,4,0,0, ,2,2,4,3,5,1,4,5,5,1,5,5,5,1,5,5,4,4,5,1,5,4,2,4,1,1,4,1,1,3,1,4,3,5,4,3,2,5,1,3,1,5,3,5,3,3,4,4.333333333
138,1,0,0, ,2,2,5,1,5,1,5,4,5,2,3,4,5,1,5,4,4,3,5,3,5,4,4,5,3,2,2,2,1,3,4,5,3,5,4,2,4,4,3,3,3,5,5,5,1,5,2.909090909,3.888888889
138,4,0,0, ,2,2,4,2,4,1,4,2,4,4,2,4,5,2,4,4,4,4,1,1,4,5,2,3,1,1,4,4,1,4,2,5,4,4,5,2,4,4,2,4,2,4,4,4,3,5,4.363636364,4.333333333
140,1,2,0, ,2,1,3,2,3,1,3, , ,2,4,3, ,1,4,1,3,3, ,1,2,3,1,3,1, , ,2, ,3, , ,1,4,4,4, ,4, ,4,1,3,3,4,1,4,3.111111111,3.111111111
140,4,2,0, ,2,1,3,2,5,1,3, , ,3, ,4,4,3,4,4, ,4, , ,3, ,2, ,2,3, ,3,2, ,3, ,3,4,3,3, ,4,2,3,3, ,4,4,2, ,3.333333333,4
143,1,0,0, ,1,3,2,2,4,1,3,4,4,3,3,4,4,4,4,2,4,4,5,4,4,2,2,4,4,4,2,4,1,4,2,3,2,4,3,4,4,4,4,3,4,2,4,4,2,5,2.818181818,3.666666667
143,4,0,0, ,2,3,3,2,3,1,3,3,3,4,3,4,4,2,4,4,2,2,3,3,4,4,2,3,2,3,3,2,2,4,2,4,2,4,4,3,4,5,2,4,2,3,3,5,2,4,3.272727273,3.888888889
148,1,0,0, ,1,2,4,3,4,2,4,4,4,3,4,5,4,2,4,3,4,4,3,2,4,4,2,4,2,4,5,5,3,4,3,3,3,4,4,4,2,4,3,4,3,4,1,4,2,4,3.636363636,4.333333333
149,1,0,0, ,1,2,2,3,3,1,4,3,4,2,4,3,4,2,4,3,3,3,3,3,3,3,3,3,2,4,3,4,3,3,4,3,3,2,4,3,3,4,4,3,3,3,3,3,3,3,3,3.666666667
149,4,0,0, ,1,2,5,3,5,1,4,3,5,4,5,3,4,2,5,1,4,3,3,4,2,4,2,5,3,4,2,4,1,5,4,3,4,4,5,2,1,5,2,3,2,3,2,4,4,3,2,3.888888889
159,1,1,0, ,2,2,1,1,3,2,3,4,4,4,4,3,2,1,4,3,2,2,4,3,4,4,5,4,4,2,2,2,2,3,2,4,4,4,4,3,4,4,1,2,3,4,2,4,4,4,3.181818182,4
159,4,0,0, ,2,2,3,1,5,1,5,4,5,1,4,4,5,1,5,4,4,5,5,1,5,5,3,5,1,3,5,3,1,5,1,5,4,5,4,1,3,5,1,4,4,5,3,4,5,5,4.363636364,4.444444444
161,1,0,0, ,2,3,4,1,5,1,4,3,4,2,5,5,4,2,5,1,3,4,4,1,2,3,1,4,1,2,4,4,1,4,3,4,1,4,4,5,3,5,2,4,2,4,3,4,2,3,3.545454545,4.444444444
161,4,0,0, ,1,3,2,2,3,1,3,4,4,3,4,3,4,3,4,2,4,3,5,4,4,3,3,4,2,5,3,3,3,5,4,2,4,4,4,3,3,3,2,3, ,3,3,3,2,3,3.545454545,3.888888889
164,1,1,0, ,1,1,1,1,4,1,5,5,5,2,5,5,4,2,5,4,5,4,5,5,4,4,4,4,2,4,4,4,2,4,3,4,4,4,4,4,4,5,2,4,2,5,2,4,4,4,3.636363636,4.333333333
164,4,1,0, ,1,1,3,2,5,1,5,5,5,2,2,5,5,1,5,5,5,5,5,3,2,5,3,5,1,5,5,4,3,5,1,5,5,5,4,5,3,5,1,5,1,4,1,5,2,5,3.818181818,5
165,1,0,0, ,2,2,4,4,5,4,4,3,4,4,3,4,4,4,4,3,4,4,2,1,3,5,3,3,4,2,3,5,5,4,5,4,5,4,4,4,4,3,4,3,4,5,1,2,3,5,3.909090909,3.777777778
165,4,0,0, ,2,2,1,1,5,1,5,4,4,2,5,3,4,2,5,4,3,3,5,2,1,5,5,5,2,2,5,3,4,3,2,5,4,5,5,4,3,4,2,4,2,4,1,4,2,5,3.818181818,4.555555556
166,1,1,0, ,1,3,3,4,4,1,5,3,3,2,3,4,4,2,4,4,4,4,2,1,3,3,3,3,2,4,4,4,2,4,3,4,2,3,4,2,2,4,2,4,2,4,5,3,4,3,3.363636364,4.222222222
167,1,1,0, ,2,1,5,1,5,1,5,3,4,1,4,5,5,1,5,2,4,3,4,3,1,5,1,5,1,3,5,5,1,4,1,3,1,5,5,4,4,5,1,4,1,3,2,4,2,4,3.363636364,3.888888889
167,4,1,0, ,2,1,5,3,5,1,5,3,5,1,3,5,5,1,5,3,5,2,3,3,5,5,1,4,1,2,5,5,1,5,2,4,1,5,5,3,3,5,2,5,4,3,1,3,1,4,4.272727273,4.333333333
170,4,1,0, ,2,1,3,1,5,1,3,3,5,2,2,3,5,1,5,3,3,4,5,1,3,2,3,4,1,3,3,4,1,5,1,4,3,5,4,3,4,4,3,4,1,3,3,4,3,3,3.909090909,4.444444444
171,1,0,0, ,2,2,4,2,3,3,3,3,4,4,4,3,3,2,4,3,3,3,3,2,3,3,3,2,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,3,4,3,4,3.090909091,4
