ifam,ID,Date.2,Date.3,source,StartDate.2,FinishDate.2,StartDate.3,FinishDate.3,family_note,whichParentOut,whyParentOut,EmpCon.2,EmpCon.3,EQSQ_empathy.2,EQSQ_empathy.3
1051,1, , ,0, , ,5/18/2015 7:35:04,6/7/2015 12:35:13, ,0, , ,2, ,1.8
1051,4, , ,0, , ,5/18/2015 7:35:04,6/7/2015 12:35:13, ,0, , ,1.16666666666667, ,1
1052,1, , ,0, , ,6/25/2015 10:02:54,6/25/2015 11:02:48, ,0, , ,.833333333333333, ,1
1052,4, , ,0, , ,6/25/2015 10:02:54,6/25/2015 11:02:48, ,0, , ,1.5, ,1.2
1053,1, , ,0,8/26/2015 19:41:46, ,8/26/2015 19:46:29, , ,0, , ,2, ,2
1053,4, , ,0,8/26/2015 19:41:46, ,8/26/2015 19:46:29, , ,0, , ,1.33333333333333, ,1.4
1054,1, , ,0,7/3/2015 15:27:19,7/17/2015 12:21:29,6/17/2015 19:15:46,6/17/2015 19:51:59, ,0, ,1.83333333333333,1.66666666666667,1.8,1.6
1054,4, , ,0,7/3/2015 15:27:19,7/17/2015 12:21:29,6/17/2015 19:15:46,6/17/2015 19:51:59, ,0, ,1.83333333333333,1.66666666666667,1.8,1.6
1056,1, , ,0,5/9/2015 5:59:10,6/14/2015 8:41:34,7/18/2015 6:17:44,7/18/2015 7:01:45, ,0, ,1.5,1.83333333333333,1.8,2
1056,4, , ,0,5/9/2015 5:59:10,6/14/2015 8:41:34,7/18/2015 6:17:44,7/18/2015 7:01:45, ,0, ,1.5,2,1.8,2
1058,1, ,8/20/2015,2,5/5/2015 16:41:30,5/7/2015 14:16:04, , , ,0, ,1.16666666666667,1.5,1,1
1058,4, ,8/20/2015,2,5/5/2015 16:41:30,5/7/2015 14:16:04, , , ,0, ,1.5,1.5,1.2,1
1064,1, , ,0,7/23/2015 18:44:07,7/23/2015 19:42:49,7/8/2015 19:50:09,7/8/2015 20:16:36, ,0, ,1,1,1,.8
1064,4, , ,0,7/23/2015 18:44:07,7/23/2015 19:42:49,7/8/2015 19:50:09,7/8/2015 20:16:36, ,0, ,2,1.16666666666667,2,1
1066,1, , ,0, , ,12/14/2015 19:38:09,1/24/2016 19:58:55, ,0, , ,1.83333333333333, ,1.8
1066,4, , ,0, , ,12/14/2015 19:38:09,1/24/2016 19:58:55, ,0, , ,2, ,2
1067,1, , ,0, , ,9/2/2015 11:24:06,9/2/2015 11:54:47, ,0, , ,1.5, ,1
1067,4, , ,0, , ,9/2/2015 11:24:06,9/2/2015 11:54:47, ,0, , ,1.5, ,1
1069,1, , ,0,6/25/2015 16:46:23,7/13/2015 22:10:34,7/15/2015 0:22:17,7/15/2015 1:33:42, ,0, ,1,.833333333333333,.8,.8
1069,4, , ,0,6/25/2015 16:46:23,7/13/2015 22:10:34,7/15/2015 0:22:17,7/15/2015 1:33:42, ,0, ,1.16666666666667,1.5,1,1.4
1070,1, ,9/22/2015,2,6/22/2015 8:38:05,6/22/2015 9:35:34, , , ,0, ,1.66666666666667,2,1.2,2
1070,4, ,9/22/2015,2,6/22/2015 8:38:05,6/22/2015 9:35:34, , , ,0, ,1.66666666666667,1.33333333333333,1.4,1.4
1071,1, , ,0,10/25/2015 14:23:31,11/1/2015 18:16:06,11/1/2015 16:41:53,11/1/2015 17:45:49, ,0, ,1.66666666666667,1.5,1.2,1.4
1071,4, , ,0,10/25/2015 14:23:31,11/1/2015 18:16:06,11/1/2015 16:41:53,11/1/2015 17:45:49, ,0, ,1.16666666666667,1.16666666666667,1.6,1.2
1072,1, , ,0,4/24/2015 18:27:08,4/24/2015 19:00:24,4/23/2015 18:38:47,4/23/2015 19:28:06, ,0, ,1,2,.8,1.8
1072,4, , ,0,4/24/2015 18:27:08,4/24/2015 19:00:24,4/23/2015 18:38:47,4/23/2015 19:28:06, ,0, ,.333333333333333,1.33333333333333,.2,1.4
1074,1, , ,0, , ,10/10/2015 16:15:08,1/6/2016 16:10:23, ,0, , ,1.83333333333333, ,1.8
1074,4, , ,0, , ,10/10/2015 16:15:08,1/6/2016 16:10:23, ,0, , ,1.83333333333333, ,1.6
1076,1, , ,0,5/7/2015 11:54:00,5/20/2015 12:28:16,5/7/2015 11:57:10,5/7/2015 12:57:32, ,0, ,1,.833333333333333,.75,.75
1076,4, , ,0,5/7/2015 11:54:00,5/20/2015 12:28:16,5/7/2015 11:57:10,5/7/2015 12:57:32, ,0, ,1.66666666666667,1.66666666666667,1.5,1.5
1077,1, , ,0,5/27/2015 19:17:41,5/27/2015 20:04:54,5/23/2015 12:21:26,5/23/2015 21:06:49, ,0, , ,1.16666666666667, ,1
1077,4, , ,0,5/27/2015 19:17:41,5/27/2015 20:04:54,5/23/2015 12:21:26,5/23/2015 21:06:49, ,0, ,.5,1.33333333333333,.8,1.2
1078,1, , ,0, , ,7/28/2015 19:27:59,7/28/2015 20:20:19, ,0, , ,1.33333333333333, ,1
1078,4, , ,0, , ,7/28/2015 19:27:59,7/28/2015 20:20:19, ,0, , ,1.83333333333333, ,1.6
1080,1, , ,0,12/30/2015 11:27:54,12/30/2015 13:14:30, , , ,0, ,1.16666666666667, ,1.4, 
1080,4, , ,0,12/30/2015 11:27:54,12/30/2015 13:14:30, , , ,0, ,1.5, ,1.4, 
1081,1, , ,0, , ,6/18/2015 11:36:33, , ,0, , ,2, ,2
1081,4, , ,0, , ,6/18/2015 11:36:33, , ,0, , ,2, ,2
1083,1, , ,0,7/29/2015 7:35:03,7/29/2015 9:08:21,7/12/2015 16:01:30,7/12/2015 16:55:17, ,0, ,1.66666666666667,1.66666666666667,1.6,1.8
1083,4, , ,0,7/29/2015 7:35:03,7/29/2015 9:08:21,7/12/2015 16:01:30,7/12/2015 16:55:17, ,0, ,1.33333333333333,1,1.2,.8
1084,1, , ,0, , ,9/26/2015 6:52:44,9/26/2015 7:36:41, ,0, , ,2, ,2
1084,4, , ,0, , ,9/26/2015 6:52:44,9/26/2015 7:36:41, ,0, , ,1.66666666666667, ,1.6
1087,1, , ,0,11/24/2015 18:58:55,11/25/2015 18:34:21,10/24/2015 19:46:19,11/21/2015 19:19:14, ,0, ,1.16666666666667,1.33333333333333,1,1.4
1087,4, , ,0,11/24/2015 18:58:55,11/25/2015 18:34:21,10/24/2015 19:46:19,11/21/2015 19:19:14, ,0, ,.5,.333333333333333,.8,.4
1088,1, , ,0, , ,8/25/2015 10:02:21,8/25/2015 11:24:19, ,0, , ,.833333333333333, ,.6
1088,4, , ,0, , ,8/25/2015 10:02:21,8/25/2015 11:24:19, ,0, , ,1.5, ,1.6
1094,1, , ,0, , ,1/3/2016 21:39:27,1/16/2016 16:50:42, ,0, , ,.666666666666667, ,.4
1094,4, , ,0, , ,1/3/2016 21:39:27,1/16/2016 16:50:42, ,0, , ,1.16666666666667, ,1.2
1095,1, ,11/15/2015,1, , , , , ,0, , ,1, ,1.2
1095,4, ,11/15/2015,1, , , , , ,0, , ,1, ,1.2
1096,1, , ,0,10/21/2015 19:13:18,10/21/2015 19:57:33, , , ,0, ,0, ,0, 
1096,4, , ,0,10/21/2015 19:13:18,10/21/2015 19:57:33, , , ,0, ,0, ,0, 
1097,1, , ,0, , ,12/15/2015 18:40:21,1/16/2016 14:16:13, ,0, , ,1.83333333333333, ,1.4
1097,4, , ,0, , ,12/15/2015 18:40:21,1/16/2016 14:16:13, ,0, , ,1.5, ,1.2
1099,1, , ,0,10/31/2015 6:12:03,10/31/2015 7:33:24,10/31/2015 15:41:25,10/31/2015 16:41:21, ,0, ,1.83333333333333,1.83333333333333,1.8,1.4
1099,4, , ,0,10/31/2015 6:12:03,10/31/2015 7:33:24,10/31/2015 15:41:25,10/31/2015 16:41:21, ,0, ,1.83333333333333,1.16666666666667,1.6,1
1100,1, ,12/1/2016,1, , , , , ,0, , ,1.16666666666667, ,1.25
1100,4, ,12/1/2016,1, , , , , ,0, , ,1.33333333333333, ,1.5
1101,1,3/1/2016, ,1, , , , , ,0, ,1.66666666666667,.666666666666667,1.8,1
1101,4,3/1/2016, ,1, , , , , ,0, ,1,.666666666666667,1,1
1102,1, ,12/13/2015,1, , , , , ,0, , ,1.83333333333333, ,1.8
1102,4, ,12/13/2015,1, , , , , ,0, , ,1.83333333333333, ,1.8
1103,1,11/19/2015,11/19/2015,1, , , , , ,0, ,1.5,1.5,1.4,1.4
1103,4,11/19/2015,11/19/2015,1, , , , , ,0, ,1.16666666666667,1.33333333333333,1,1.2
1106,1, , ,0,11/19/2015 9:17:04,11/19/2015 9:55:57,10/27/2015 7:31:10,10/27/2015 9:25:15, ,0, ,2,2,2,2
1106,4, , ,0,11/19/2015 9:17:04,11/19/2015 9:55:57,10/27/2015 7:31:10,10/27/2015 9:25:15, ,0, ,2,2,2,1.8
1108,1, , ,0, , ,10/8/2015 7:46:38,10/8/2015 8:30:50, ,0, , ,.666666666666667, ,.8
1108,4, , ,0, , ,10/8/2015 7:46:38,10/8/2015 8:30:50, ,0, , ,1.16666666666667, ,1.2
1109,1, ,1/22/2016,1, , , , , ,0, , ,.333333333333333, ,.4
1109,4, ,1/22/2016,1, , , , , ,0, , ,.666666666666667, ,.6
1110,1, , ,0,8/20/2015 11:40:36,8/24/2015 17:18:06,8/20/2015 10:05:23,8/20/2015 10:53:28, ,0, ,1.83333333333333,1.83333333333333,1.8,1.6
1110,4, , ,0,8/20/2015 11:40:36,8/24/2015 17:18:06,8/20/2015 10:05:23,8/20/2015 10:53:28, ,0, ,1.83333333333333,1.83333333333333,1.8,1.6
1114,1, , ,0,5/18/2016 8:29:08,5/18/2016 11:56:58,5/19/2016 5:26:45,6/2/2016 15:17:01, ,0, ,1.5,2,1.2,1.8
1114,4, , ,0,5/18/2016 8:29:08,5/18/2016 11:56:58,5/19/2016 5:26:45,6/2/2016 15:17:01, ,0, ,1.5,2,1.2,2
1115,1, , ,0,8/31/2015 16:00:03,9/1/2015 14:56:53,8/22/2015 15:54:50,8/22/2015 17:07:30, ,0, ,1.5,2,1.2,1.8
1115,4, , ,0,8/31/2015 16:00:03,9/1/2015 14:56:53,8/22/2015 15:54:50,8/22/2015 17:07:30, ,0, ,1.16666666666667,1.83333333333333,1,1.8
1117,1, , ,0,3/9/2016 13:56:29, , , , ,0, ,.333333333333333, ,0, 
1117,4, , ,0,3/9/2016 13:56:29, , , , ,0, ,.333333333333333, ,0, 
1119,1, , ,0, , ,9/24/2016 16:00:24,9/24/2016 16:36:49, ,0, , ,1.83333333333333, ,1.4
1119,4, , ,0, , ,9/24/2016 16:00:24,9/24/2016 16:36:49, ,0, , ,1.66666666666667, ,1.4
1120,1, , ,0, , ,11/22/2015 17:57:27,11/22/2015 19:47:27, ,0, , ,.833333333333333, ,1.2
1120,4, , ,0, , ,11/22/2015 17:57:27,11/22/2015 19:47:27, ,0, , ,1.2, ,1.25
1121,1, , ,0,11/21/2015 19:14:56,11/21/2015 20:09:17,11/21/2015 16:10:36,11/21/2015 19:30:04, ,0, ,.5,1,.4,1.2
1121,4, , ,0,11/21/2015 19:14:56,11/21/2015 20:09:17,11/21/2015 16:10:36,11/21/2015 19:30:04, ,0, ,.833333333333333,.833333333333333,.8,1
1127,1, ,3/14/2016,1, , , , , ,0, , ,1.83333333333333, ,1.8
1127,4, ,3/14/2016,1, , , , , ,0, , ,1.33333333333333, ,1.2
1128,1,12/19/2016,12/14/2016,1, , , , , ,0, ,1.16666666666667,1.66666666666667,1,1.6
1128,4,12/19/2016,12/14/2016,1, , , , , ,0, ,1.8,1.66666666666667,1.66666666666667,1.6
1129,1, , ,0,1/5/2016 13:12:28,1/17/2016 14:35:49,12/31/2015 18:00:35,1/5/2016 15:12:16, ,0, ,2,2,2,2
1129,4, , ,0,1/5/2016 13:12:28,1/17/2016 14:35:49,12/31/2015 18:00:35,1/5/2016 15:12:16, ,0, ,1.83333333333333,2,1.8,2
1130,1, , ,0,12/1/2015 14:45:58,12/1/2015 20:01:44,12/19/2015 11:12:14,12/19/2015 11:42:41, ,0, ,.5,1.16666666666667,.6,1.2
