ifam,ID,Age13
11593,1,13.65487933
11593,4,13.6137853
11611,1,13.38093093
11611,4,13.38092684
11640,1,13.31218889
11640,4,13.31281834
11651,1,13.17026301
11651,4,13.17039052
11662,1,12.82484993
11673,1,13.00837446
11673,4,13.00827877
11702,4,13.69779736
11713,1,13.64101329
11713,4,12.99256281
11753,1,13.38630713
11753,4,13.38942987
11782,1,13.10700091
11782,4,13.12739847
11840,1,12.8881472
30000,1,13.29856767
30000,4,13.29856738
30062,1, 
30062,4, 
30120,1,13.40451745
30120,4,13.40451745
30142,1,13.24931795
30142,4,13.23748726
30153,1,13.27173369
30153,4,13.27172193
30222,1,13.26833479
30222,4,13.46076882
30302,1,13.22776789
30302,4,13.2293849
30331,1,13.62080767
30331,4,13.62080767
30353,1,13.2329359
30353,4,13.23340077
30371,1,13.41820671
30371,4,13.41820671
30473,1,13.19122069
30473,4,13.19145604
30480,1,13.28699277
30480,4,13.27422161
30502,1,13.34808674
30502,4,13.66533396
30542,1,13.13532921
30542,4,13.13134345
30560,4,13.41063772
30582,1,13.26810657
30582,4,13.2958519
30640,1,13.46027917
30640,4,13.46016509
30662,1,13.18920783
30662,4,13.22218993
30680,1,13.38895036
30680,4,13.39168904
30702,1,13.32999582
30702,4,13.25780262
30731,1,13.26386978
30731,4,13.22819029
30742,1,13.47104289
30753,1,13.42709262
30753,4,13.39369863
30771,1,13.19751993
30771,4,13.19738732
30782,1,13.25717421
30782,4,13.2139574
30840,1,13.39665694
30840,4,13.36683062
30851,1,13.18145974
30851,4,13.27866096
30902,1,13.23313414
30902,4,13.19555866
30960,1,13.27343296
30960,4,13.24909854
31022,1,13.39768633
31022,4,13.60164271
31033,1,13.41594538
31040,1,13.25129484
31040,4,13.3094221
31113,1,13.25406444
31113,4,13.25427399
31160,1,13.29800948
31233,1,13.12525667
31233,4,13.12525667
31262,1,13.28952772
31262,4,13.28952772
31291,1,13.1996893
31291,4,13.20073127
31382,1,13.64898237
31382,4,13.652303
31440,1,13.23331597
31440,4,13.18961103
31462,1,13.15872975
31462,4,13.15882089
31531,1,13.1944523
31531,4,13.18965685
31582,1,13.27163488
31582,4,13.27263002
31760,1,13.783214
31760,4,13.78322246
31873,1,13.32663137
31873,4,13.3257397
31913,1,13.09030446
31913,4,13.09038751
31942,1,13.09889966
31942,4,13.0988591
32033,1,13.10232055
32033,4,13.10191333
32080,1,13.19427786
32080,4,13.23269906
32091,1,13.27696789
32091,4,13.27788286
32200,1,13.14820072
32200,4,13.14557888
32222,1,13.15839345
32222,4,13.76394859
32313,1,13.62354552
32313,4,14.06160164
32331,1,13.26209208
32342,1,13.04042415
32342,4,13.03903979
32393,1, 
32393,4, 
32513,1,13.05771466
32513,4,13.05766427
32520,1,13.21733262
32531,1,13.33668961
32531,4,13.33893937
32593,1,13.24962389
32593,4,13.24604061
32633,1,13.21644938
32633,4,13.2053647
32680,1,13.42642026
32680,4,13.42642026
32691,1,13.09072933
32691,4,13.12421448
32731,1,13.5175501
32731,4,13.05731716
32753,1,13.52886788
32753,4,13.49839015
32760,1,13.05502808
32760,4,13.05432821
32793,1,13.045859
32793,4,13.045859
32800,1,13.53956911
32800,4,13.53998767
32822,1,13.06819872
32822,4,13.06954639
32862,1,13.12635166
32873,1,13.24605017
32873,4,13.23849104
32920,1,13.09877674
32920,4,13.12384218
32931,1,13.13560689
32931,4,13.13476329
32953,1,13.14829863
32953,4,13.46019751
32960,1,13.10097821
32960,4,13.10082018
32993,1,13.10179244
32993,4,13.10199521
33011,1,13.27650449
33011,4,13.20284036
33033,1,13.20389637
33033,4,13.20384807
33073,1,13.20261351
33073,4,13.2023959
33131,1,13.17325522
33131,4,13.17335998
33142,1,13.24909755
33142,4,13.31724352
33153,1,13.21327683
33153,4,13.23833042
33193,1,13.16182298
33193,4,13.15341937
33200,1,12.91170431
33200,4, 
33262,1,13.53374233
33262,4,13.53376784
33273,1,13.48480458
33273,4,13.48487318
33302,1,13.4082363
33302,4,13.43507516
33342,1,13.44114036
33342,4,13.43293229
33360,1,13.05723632
33393,1,13.06382707
33393,4,13.55928341
33411,1,13.09036384
33411,4,13.07648516
33462,1,13.5723606
33462,4,13.57498229
33502,1,13.26214921
33502,4,13.30869268
33571,1,13.10438164
33571,4,13.10431329
33611,4,13.32590682
33622,1,13.23575202
33622,4,13.23784388
33633,1,13.1509341
33633,4,13.1537488
33680,1,13.43271966
33680,4,13.44475201
33720,1,13.49070633
33720,4,13.42495149
33771,1,13.41273101
33771,4,13.41273101
33782,1,12.95710029
33782,4,12.95709633
33913,1,13.38118624
33913,4,13.38123039
33931,1,13.64084075
33931,4,13.84333992
34062,1,13.10690249
34062,4,13.10689751
34113,1,13.22542177
34113,4,13.82176287
34131,1,13.44049874
34142,1,13.71766354
34142,4,13.72350968
34200,1,13.3641634
34200,4,13.36998463
34262,1,13.03601316
34262,4,13.06722511
34273,1,13.86626325
34273,4,13.86610639
34302,1,13.20501942
34302,4,13.20592789
34320,1,13.04887374
34320,4,13.06321827
34331,1,13.26938899
34331,4,13.26888832
34342,1,13.15649679
34342,4,13.15925964
34433,1,13.27090945
34480,4,13.29709956
34640,1,13.18601107
34640,4,13.16478325
34662,1,13.67008898
34662,4,13.67008898
34691,1,13.33444368
34691,4,13.33146088
34713,1, 
34713,4, 
34742,1,13.41463578
34742,4,13.32095086
34753,1,13.65092402
34753,4,13.65092402
34782,1,13.21959861
34782,4,13.22122034
34793,1,13.20523186
34793,4,13.2050033
34833,1,13.13983735
34833,4,13.14063297
34840,4,13.29950041
34960,1,13.24362002
34971,1,13.25851396
34971,4,13.26951096
34982,1,13.51676934
34982,4,13.51676934
35000,1,13.42154929
35000,4,13.43590089
35022,1,13.19735227
35022,4,13.17287034
35091,1,13.27981358
35091,4,13.27926943
35160,1,13.47653114
35160,4,13.47929887
35182,1,13.47043261
35182,4,13.470407
35193,1,13.43302513
35193,4,13.44949711
35211,1,13.45792437
35211,4,13.55021298
35251,1,13.41274156
35251,4,13.15556202
35262,1,13.60297729
35262,4,13.6030907
35313,1,13.2471301
35313,4,13.24940084
35353,1,13.90025144
35520,1,13.312758
35520,4,13.31143059
35531,4,13.92536121
35560,1,13.76421471
35560,4,13.33737417
35593,1,13.0856915
35593,4,13.12658165
35691,1,13.36650043
35691,4,13.36672938
35713,4,13.35094909
35742,1,13.40824027
35742,4,13.44945899
35782,1,13.12354834
35782,4,13.12355458
35793,1,13.1538283
35793,4,13.15458539
35800,1,13.38632922
35800,4,13.38604041
35811,1,13.05439054
35811,4,13.17770112
35833,1,13.26081451
35833,4,13.26599387
35960,1,13.51565626
35960,4,13.50699793
35971,1,13.19491438
35971,4,13.19477194
36022,1,13.31742246
36033,1,13.1616961
36102,1,13.25708394
36102,4,13.26556224
36142,1,13.10143547
36142,4,13.10122082
36160,1,13.55783155
36160,4,13.38377234
36171,1,13.3203775
36193,1,13.1921237
36193,4,13.1921244
36211,4,13.26906961
36222,1,13.17501201
36222,4,13.17501081
36251,1,13.60337383
36251,4,13.60350103
36262,1,13.45746232
36320,4,13.72056842
36433,1,13.3890043
36491,1,13.51840498
36491,4,13.51899409
36542,4,13.29940049
36560,1,13.18910402
36560,4,13.28486371
36582,1,13.72625722
36600,1,13.24024641
36600,4,13.24024641
36702,4,13.44081771
36782,1,13.07709794
36782,4,13.07719728
36793,1,13.36490636
36800,4,13.45256423
36840,1,13.13739137
36840,4,13.13773899
36851,1,13.3913251
36851,4,13.42391814
36862,1,13.35361992
36862,4,13.35311377
36873,1,13.4053101
36873,4,13.36973344
36902,1,13.09611539
36902,4,13.14299836
36913,1,13.33754034
36913,4,13.3068722
36942,1,13.02996885
36942,4,13.03030009
36960,1,13.48239936
36960,4,13.79430625
36982,1,13.7095653
36982,4,13.70956895
36993,1,13.27378641
36993,4,13.48740383
37000,1,13.13156463
37000,4,13.14337145
37022,1,13.35653567
37022,4,13.3429397
37113,1,13.26857188
37113,4,13.27202636
37120,1,13.06296946
37120,4,13.06290215
37131,1,13.35093052
37131,4,13.69339671
37160,4,13.77409347
37171,1,13.3698537
37171,4,13.3706882
37193,1,13.15438411
37200,1,13.40295194
37200,4,13.40304098
37222,1,13.24085878
37222,4,13.24086017
37240,1,13.04385454
37240,4,13.0518048
37291,1,13.49283117
37291,4,13.49280116
37313,1,13.08827908
37313,4,13.09080618
37331,1,13.16551236
37331,4,13.16997877
37382,1,13.28241824
37411,4,13.67580947
37451,1,13.58247775
37451,4,13.41546886
37462,1,13.36657563
37462,4,13.36656983
37473,1,13.35616999
37473,4,13.45722945
37553,1,13.25586638
37553,4,13.25518122
37560,1,13.27928939
37560,4,13.33385061
37633,1,13.26497474
37633,4,13.26524942
37662,1,13.64010102
37662,4,13.64010283
37680,1,13.0221109
37680,4,13.02189153
37691,1,13.10725784
37691,4,12.96445484
37713,1,13.46201232
37713,4,13.46201232
37753,1,13.21102847
37822,1,13.2078455
37851,1,13.15916806
38011,1,13.35100226
38011,4,13.80280836
38022,4,13.71484375
38040,1,13.34501537
38040,4,13.03955947
38102,1,13.53045859
38102,4,13.62080767
38211,4,13.05531336
38233,1,13.06090235
38233,4,13.27172171
38262,1,13.29072445
38262,4,13.29302789
38400,1,13.36697448
38411,1,13.06597159
38411,4,13.1150867
38451,1,13.24117886
38451,4,13.24201194
38462,4,13.78908006
38473,1,13.1839324
38473,4,13.498542
38480,1,13.77960301
38480,4,13.77960301
38491,1, 
38491,4,13.47570157
38582,1,13.32238193
38582,4,13.32238193
38593,1,13.11917903
38593,4,13.11590536
38633,1,13.09370681
38633,4,13.07998159
38713,1,13.81069647
38713,4,13.80780408
38742,1,13.49121039
38742,4,13.49144026
38771,1,13.00858662
38771,4,12.94844985
38782,1,13.23397403
38782,4,13.19287509
38793,4,13.20636816
38851,1,13.05488516
38851,4,13.05497557
38913,1,13.16656831
38913,4,13.16679529
38942,1,13.88958958
38942,4,13.88169056
38953,1,13.03556912
38953,4,13.04185109
38960,1,13.60246986
38960,4,13.33140568
39051,1,13.0585053
39051,4,13.05324803
39062,1,13.02274809
39062,4,13.01121575
39080,1,12.90398731
39080,4,12.90488377
39131,1,13.21380628
39153,4,13.16519485
39233,1,12.9536961
39280,1,13.293201
39280,4,13.29308686
39313,1,12.9920294
39313,4,12.99222219
39360,4,13.88821891
39382,1,12.88988716
39382,4,12.93393256
39393,1,13.31727181
39393,4,13.52872772
39422,1,13.09891858
39422,4,13.101291
39462,1,13.57294845
39462,4,13.59675539
39473,4,13.15386905
