ifam,ID,source,whichParentOut,whyParentOut,EQSQ_empathy.2,EQSQ_empathy.3
30371,4,0,0, , ,1.8
30382,1,0,0, ,0.2, 
30382,4,0,0, ,0.4, 
30451,1,1,0, ,1.4,1.6
30451,4,1,0, ,1.4,1.4
30462,1,0,0, ,2,1
30462,4,0,0, ,2,1
30473,1,0,0, ,1.6,1.4
30473,4,0,0, ,2,1.4
30480,1,0,0, ,0.4,1.2
30480,4,0,0, ,0.4,0.6
30502,1,0,0, , ,2
30502,4,0,0, , ,1.6
30542,1,0,0, , ,2
30542,4,0,0, , ,2
30560,1,0,0, ,1.2,1.6
30560,4,0,0, ,1.4,1.6
30582,1,0,0, ,1.4,1.4
30582,4,0,0, ,1.8,2
30593,1,0,0, , ,1.2
30593,4,0,0, , ,1.2
30640,1,0,0, , ,1.6
30640,4,0,0, , ,1.4
30662,1,0,0, ,0,0.6
30662,4,0,0, ,0,0.2
30673,1,0,0, , ,1.6
30673,4,0,0, , ,1.4
30680,1,0,0, ,2,1.8
30680,4,0,0, ,2,1.8
30702,1,0,0, ,1.4,0.6
30702,4,0,0, ,1.4,1
30731,1,0,0, , ,1.2
30731,4,0,0, , ,1.2
30742,1,0,3,1,1.2, 
30742,4,0,3,1,1.6, 
30753,1,0,0, ,1.6,1.6
30753,4,0,0, ,1,1
30771,1,0,0, ,1,2
30771,4,0,0, ,0.6,1.4
30782,1,0,0, ,0.8,1.4
30782,4,0,0, ,1.6,2
30833,1,0,0, , ,1.4
30833,4,0,0, , ,0.8
30851,1,0,0, , ,1.4
30851,4,0,0, , ,2
30862,1,0,0, , ,0.8
30862,4,0,0, , ,1.4
30873,1,0,0, , ,0.8
30873,4,0,0, , ,1.2
30880,1,1,0, ,1.2,1
30880,4,1,0, ,1,1.2
30902,1,0,0, , ,1.8
30902,4,0,0, , ,1.4
30931,1,0,0, ,1.8,1
30931,4,0,0, ,1.2,0.8
30960,1,0,0, , ,1.2
30960,4,0,0, , ,1.8
30982,1,0,0, , ,0.2
30982,4,0,0, , ,0.2
31011,1,0,0, , ,1
31011,4,0,0, , ,1
31022,1,0,0, , ,1.4
31022,4,0,0, , ,1.6
31033,1,0,0, , ,2
31033,4,0,0, , ,1.6
31040,1,0,0, ,1.6,1.2
31040,4,0,0, ,1.6,1.4
31113,1,0,0, , ,1
31113,4,0,0, , ,0.6
31233,1,1,0, , ,0.4
31233,4,1,0, , ,0.6
31291,1,0,0, , ,0.6
31291,4,0,0, , ,0.6
31302,1,0,0, ,1.6,2
31302,4,0,0, ,1.6,2
31371,1,0,0, , ,1.4
31371,4,0,0, , ,1.6
31393,1,1,0, ,1.8,1.8
31393,4,1,0, ,2,1.8
31440,1,0,0, ,1.6,1.2
31440,4,0,0, ,1.6,1.2
31462,1,1,0, ,1.4,1.4
31462,4,1,0, ,1.8,1.8
31531,1,0,0, ,2,2
31531,4,0,0, ,1.8,1.2
31553,1,1,0, ,1,1.6
31553,4,1,0, ,1,1.6
31582,1,0,0, ,0.6,1.6
31582,4,0,0, ,0.4,0.6
31593,1,1,0, , ,1.6
31593,4,1,0, , ,1.6
31633,1,0,0, , ,1.8
31633,4,0,0, , ,0.8
31720,1,1,0, ,1.6,2
31720,4,1,0, ,1.8,1.8
31731,1,0,0, , ,0.8
31731,4,0,0, , ,0.8
31760,1,0,0, ,1.2,1.4
31760,4,0,0, ,1.4,1.6
31873,1,0,0, ,1.4,1.6
31873,4,0,0, ,1,1.2
31902,1,1,0, , ,1.4
31902,4,1,0, , ,1.8
31913,1,0,0, , ,0.6
31913,4,0,0, , ,0.4
31942,1,0,0, ,1.4,1
31942,4,0,0, ,1.6,1.6
31960,1,1,0, , ,1
31960,4,1,0, , ,1.2
32000,1,1,0, ,1.4,1.2
32000,4,1,0, ,1.4,1.2
32080,1,0,0, , ,1.4
32080,4,0,0, , ,1.4
32131,1,0,0, , ,0.8
32131,4,0,0, , ,0.8
32160,1,0,0, , ,0.8
32160,4,0,0, , ,1
32171,1,1,0, ,1.6,1.4
32171,4,1,0, ,1.8,1.4
32193,1,0,0, , ,1.4
32193,4,0,0, , ,1
32200,1,0,0, ,1,1.2
32200,4,0,0, ,1.6,0.8
32222,1,0,0, , ,1.2
32222,4,0,0, , ,1.2
32233,1,0,0, , ,0.8
32233,4,0,0, , ,1
32251,1,0,3,1,1,1.2
32251,4,0,3,1,1,1.4
32313,1,0,0, , ,1.2
32313,4,0,0, , ,1
32342,1,0,0, ,0.8,1
32342,4,0,0, ,1,1
32353,1,0,0, , ,0.6
32353,4,0,0, , ,1
32433,1,0,0, , ,1
32433,4,0,0, , ,0
32462,1,1,0, ,1,1.6
32462,4,1,0, ,0.2,0.6
32513,1,0,0, ,1.2,1.6
32513,4,0,0, ,1.2,1.2
32520,1,0,0, , ,0.8
32520,4,0,0, , ,1.4
32531,1,0,0, ,1.6,1.6
32531,4,0,0, ,1,1.2
32593,1,0,0, , ,2
32593,4,0,0, , ,1.4
32611,1,0,0, , ,1.8
32611,4,0,0, , ,1.2
32633,1,0,0, ,0.8,1.8
32633,4,0,0, ,0.8,1.8
32640,1,0,0, , ,1.2
32640,4,0,0, , ,1.2
32680,1,1,0, ,1.6,1
32680,4,1,0, ,1.6,1.4
32691,1,0,0, ,1,1.6
32691,4,0,0, ,1,1.6
32702,1,0,0, ,1,0.4
32702,4,0,0, ,1.6,0.5
32731,1,0,0, ,0,1
32731,4,0,0, ,1.6,1.6
32760,1,0,0, ,1.5,1
32760,4,0,0, ,1.75,1.2
32800,1,0,0, ,0.8,1
32800,4,0,0, ,0.8,0.4
32811,1,0,0, ,1,1
32811,4,0,0, ,1.4,1.4
32822,1,0,0, ,1.6,2
32822,4,0,0, ,1.4,1.6
32862,1,0,0, ,0.8,1.2
32862,4,0,0, ,1.6,2
32873,1,0,0, , ,1.6
32873,4,0,0, , ,1.6
32891,1,0,0, , ,1.8
32891,4,0,0, , ,1.6
32920,1,0,0, ,1.6,0.8
32920,4,0,0, ,2,1.6
32931,1,0,0, , ,1.6
32931,4,0,0, , ,0.5
32953,1,0,0, , ,0.8
32953,4,0,0, , ,1.8
32960,1,0,0, ,1.6,2
32960,4,0,0, ,1.8,2
32993,1,0,0, ,1.4,2
32993,4,0,0, ,1.5,1.75
33011,1,0,0, , ,1.6
33011,4,0,0, ,1.6,1.6
33022,1,1,0, , ,1
33022,4,1,0, , ,1.25
33033,1,0,0, ,0.8,1.2
33033,4,0,0, ,1,1.2
33062,1,0,0, ,0.2,1
33062,4,0,0, ,1.6,1.4
33073,1,0,0, ,1.4, 
33073,4,0,0, ,1.25, 
33113,1,0,0, , ,1.8
33113,4,0,0, , ,1.8
33120,1,0,0, ,1.75,1.8
33120,4,0,0, ,1,1.8
33131,1,0,0, ,1.4, 
33131,4,0,0, ,0.6, 
33142,1,0,0, ,1, 
33142,4,0,0, ,0.8,1.4
33153,1,0,0, ,1.6,0.2
33153,4,0,0, ,1,1.4
33193,1,0,0, , ,1.6
33193,4,0,0, , ,1.8
33200,1,1,0, , ,0.25
33200,4,1,0, , ,0.25
33240,1,0,0, ,1.4,1.4
33240,4,0,0, , ,0.6
33262,1,0,0, ,1.2,1.2
33262,4,0,0, ,1.2,1.2
33273,1,3,0, ,1.4,2
33273,4,3,0, ,1.2,1.4
33302,1,0,0, , ,1
33302,4,0,0, , ,1
33342,1,0,0, ,2,2
33342,4,0,0, ,1.8,2
33382,1,1,0, , ,1.4
