ifam,ID,OnlineManual,isOut,whyOut,sex,Age,zygosity,el_BFI1,el_BFI2,el_BFI3,el_BFI4,el_BFI5,el_BFI6,el_BFI7,el_BFI8,el_BFI9,el_BFI10,el_BFI11,el_BFI12,el_BFI13,el_BFI14,el_BFI15,el_BFI16,el_BFI17,el_BFI18,el_BFI19,el_BFI20,el_BFI21,el_BFI22,el_BFI23,el_BFI24,el_BFI25,el_BFI26,el_BFI27,el_BFI28,el_BFI29,el_BFI30,el_BFI31,el_BFI32,el_BFI33,el_BFI34,el_BFI35,el_BFI36,el_BFI37,el_BFI38,el_BFI39,el_BFI40,el_BFI41,el_BFI42,el_BFI43,el_BFI44,el_BFI6_Rev,el_BFI21_Rev,el_BFI31_Rev,el_BFI2_Rev,el_BFI12_Rev,el_BFI27_Rev,el_BFI37_Rev,el_BFI8_Rev,el_BFI18_Rev,el_BFI23_Rev,el_BFI43_Rev,el_BFI9_Rev,el_BFI24_Rev,el_BFI34_Rev,el_BFI35_Rev,el_BFI41_Rev,EMPQ_emotional,EMPQ_cognitive
52,4,0,0, ,2,11.18217865,2,4,4,3,3,5,3,5,5,1,4,4,2,2,4,3,4,5,1,5,4,2,4,3,1,5,4,1,5,4,4,3,4,4,1,1,5,2,2,5,4,3,4,2,3,3,4,3,2,4,5,4,1,5,3,4,5,5,5,5,3,3,4.222222222
53,1,0,0, ,1,11.23968008,1,3,2,4,1,4,4,4,4,4,5,4,3,4,4,3,4,4,2,5,5,2,4,1,2,4,4,2,4,3,4,2,3,4,2,4,4,3,3,2,2,1,4,2,4,2,4,4,4,3,4,3,2,4,5,4,2,4,4,2,5,3.636363636,3.777777778
53,4,0,0, ,1,11.23967168,1,4,1,1,1,4,2,4,5,2,4,5,4,4,5,4,5,4,4,4,5,2,4,2,2,1,2,4,4,4,5,5,4,4,2,2,4,4,5,4,2,4,5,4,4,4,4,1,5,2,2,2,1,2,4,2,4,4,4,4,2,3.545454545,4.222222222
54,1,0,0, ,1,11.11956483,3,3,3,4,1,5,4,4,5,4,5,5,1,5,5,5,5,5,2,5,5,4,4,5,2,5,5,1,4,4,3,4,5,5,1,1,3,5,3,1,4,3,5,2,1,2,2,2,3,5,5,1,1,4,1,4,2,4,5,5,3,4.181818182,4.444444444
54,4,0,0, ,2,11.13876201,3,3,2,4,1,4,3,4,2,3,5,5,2,3,4,2,4,3,3,2,5,3,4,2,4,3,4,1,4,3,4,4,5,3,2,4,5,3,4,2,3,3,3,4,3,3,3,2,4,4,5,3,4,3,4,2,3,2,4,2,3,3.181818182,3.555555556
55,1,0,0, ,2,11.70854137,2,5,3,5,1,5,4,5,1,4,5,5,2,5,5,5,4,5,1,4,5,5,5,1,4,5,4,3,5,2,5,4,5,5,4,2,5,2,5,3,5,5,5,2,5,2,1,2,3,4,3,4,5,5,5,4,2,2,2,4,1,4,4.444444444
55,4,0,0, ,2,11.15024397,2,5,5,4,1,4,1,5,2,3,3,3,4,4,3,4,4,3,3,3,5,3,3,2,2,3,5,3,3,1,5,4,4,5,3,2,5,1,2,3,4,1,5,3,4,5,3,2,1,2,3,5,4,3,4,3,3,4,3,4,5,2.636363636,3.888888889
56,1,0,0, ,1,11.15818323,1,4,1,2,1,1,5,5,5,3,3,3,1,3,5,5,5,3,4,5,2,2,3,3,2,3,5,1,5,3,2,3,2,4,4,5,5,3,2,2,2,1,5,5,3,1,4,3,5,5,5,3,1,2,3,1,3,4,2,1,5,3.272727273,4.111111111
56,4,0,0, ,1,11.28976928,1,2,1,2,1,3,2,4,4,2,5,4,2,4,4,2,3,3,3,3,4,2,4,2,2,3,4,2,4,4,3,2,4,4,2,4,4,4,4,4,2,2,4,2,4,4,4,4,5,4,4,2,2,3,4,4,4,4,4,2,4,2.636363636,3
58,1,0,0, ,2,11.39579217,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,4,3,3,3,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,1,3,3,3,3,3,4,3,3,3,3,3,4,4,4,3,3,3.363636364,3.222222222
